"occupation_id","adaptive_capacity_score","transferability_score","learning_intensity_score","transition_option_count","job_zone","source_mix","confidence","notes"
"occ_13_1161_00","0.606","0.623","0.627","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.51","derived_launch_aggregate|knowledge_share=0.55|people_share=0.28|routine_share=0.10"
"occ_13_1199_00","0.573","0.602","0.546","13","3","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.48","derived_launch_aggregate|knowledge_share=0.57|people_share=0.32|routine_share=0.11"
"occ_13_2011_00","0.506","0.521","0.580","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.54","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_13_2051_00","0.514","0.523","0.598","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.56","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_13_2052_00","0.524","0.528","0.611","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.56","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_13_2072_00","0.496","0.517","0.566","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.62","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_15_1211_00","0.552","0.564","0.564","12","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.63","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_15_1212_00","0.635","0.612","0.719","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.52","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_15_1232_00","0.511","0.549","0.495","12","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.60","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_15_1241_00","0.603","0.599","0.674","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.66","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_15_1244_00","0.558","0.582","0.601","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.63","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_15_1252_00","0.612","0.602","0.687","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.55","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_15_1253_00","0.589","0.594","0.647","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.55","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_15_2031_00","0.691","0.691","0.794","14","5","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.47","derived_launch_aggregate|knowledge_share=0.74|people_share=0.12|routine_share=0.00"
"occ_15_2051_00","0.688","0.673","0.766","14","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.51","derived_launch_aggregate|knowledge_share=0.74|people_share=0.12|routine_share=0.00"
"occ_17_2051_00","0.543","0.556","0.615","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.55","derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21"
"occ_17_2071_00","0.551","0.558","0.631","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.48","derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21"
"occ_17_2072_00","0.555","0.559","0.640","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.59","derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21"
"occ_17_2112_00","0.555","0.560","0.634","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.54","derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21"
"occ_17_2141_00","0.551","0.558","0.629","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.58","derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21"
"occ_23_1011_00","0.608","0.586","0.704","13","5","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.54","derived_launch_aggregate|knowledge_share=0.30|people_share=0.33|routine_share=0.20"
"occ_23_2011_00","0.502","0.518","0.465","12","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.51","derived_launch_aggregate|knowledge_share=0.30|people_share=0.33|routine_share=0.20"
"occ_27_1024_00","0.580","0.605","0.601","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.65","derived_launch_aggregate|knowledge_share=0.57|people_share=0.19|routine_share=0.08"
"occ_27_3023_00","0.579","0.607","0.575","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.66","derived_launch_aggregate|knowledge_share=0.51|people_share=0.29|routine_share=0.08"
"occ_27_3031_00","0.600","0.598","0.572","14","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.57","derived_launch_aggregate|knowledge_share=0.28|people_share=0.53|routine_share=0.11"
"occ_27_3041_00","0.569","0.594","0.605","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.61","derived_launch_aggregate|knowledge_share=0.57|people_share=0.15|routine_share=0.12"
"occ_27_3042_00","0.573","0.594","0.618","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.57","derived_launch_aggregate|knowledge_share=0.57|people_share=0.15|routine_share=0.12"
"occ_27_3043_00","0.609","0.623","0.613","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.60","derived_launch_aggregate|knowledge_share=0.57|people_share=0.19|routine_share=0.08"
"occ_41_3011_00","0.564","0.577","0.522","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.65","derived_launch_aggregate|knowledge_share=0.21|people_share=0.60|routine_share=0.19"
"occ_41_3021_00","0.583","0.585","0.551","14","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.64","derived_launch_aggregate|knowledge_share=0.21|people_share=0.60|routine_share=0.19"
"occ_41_3031_00","0.587","0.585","0.563","14","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.61","derived_launch_aggregate|knowledge_share=0.21|people_share=0.60|routine_share=0.19"
"occ_41_3091_00","0.514","0.525","0.393","13","2","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.39","derived_launch_aggregate|knowledge_share=0.21|people_share=0.60|routine_share=0.19"
"occ_41_4011_00","0.594","0.587","0.575","14","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.55","derived_launch_aggregate|knowledge_share=0.21|people_share=0.60|routine_share=0.19"
"occ_43_1011_00","0.364","0.379","0.397","11","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.58","derived_launch_aggregate|knowledge_share=0.00|people_share=0.28|routine_share=0.63"
"occ_43_3021_00","0.450","0.485","0.460","11","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.50","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_43_3031_00","0.442","0.483","0.445","11","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.63","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_43_4031_00","0.467","0.489","0.383","12","2","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.59","derived_launch_aggregate|knowledge_share=0.30|people_share=0.33|routine_share=0.20"
"occ_43_4051_00","0.354","0.393","0.310","11","2","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.56","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_43_4131_00","0.444","0.482","0.455","11","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.56","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_43_4171_00","0.322","0.349","0.297","10","2","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.68","derived_launch_aggregate|knowledge_share=0.00|people_share=0.28|routine_share=0.63"
"occ_43_6011_00","0.366","0.380","0.400","11","3","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.60","derived_launch_aggregate|knowledge_share=0.00|people_share=0.28|routine_share=0.63"
"occ_43_6014_00","0.321","0.347","0.299","10","2","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.54","derived_launch_aggregate|knowledge_share=0.00|people_share=0.28|routine_share=0.63"
"occ_43_9041_00","0.355","0.391","0.319","11","2","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.58","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_43_9061_00","0.310","0.343","0.281","10","2","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.51","derived_launch_aggregate|knowledge_share=0.00|people_share=0.28|routine_share=0.63"
"occ_43_9111_00","0.601","0.644","0.612","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.58","derived_launch_aggregate|knowledge_share=0.74|people_share=0.12|routine_share=0.00"
