"occupation_id","title","role_family","search_blob","employment_us","median_wage_usd","projection_growth_pct","exposure_prior_score","adaptive_capacity_prior_score","selector_weight","coverage_tier"
"occ_13_2051_00","Financial and Investment Analysts","finance","financial analyst financial and investment analysts accounting analyst acquisition analyst acquisition specialist acquisitions analyst acquisitions consultant alternative financing specialist analyst bank analyst banking analyst bond analyst brand analyst chartered financial analyst (cfa) commodity analyst corporate financial analyst corporate securities research analyst corporate statistical financial analyst credit products officer equity research analyst finance analyst financial planning and analysis analyst financial reporting analyst financial systems analyst fiscal analyst government incentives alternative financing specialist green material value-added assessor institutional commodity analyst investment analyst investment banker investment officer investment underwriter investor m and a banker (mergers and acquisitions banker) mergers and acquisitions associate (m and a associate) mergers and acquisitions consultant (m and a consultant) money manager mutual fund accountant organizational investment analyst planning analyst portfolio analyst portfolio manager pricing analyst pricing specialist prime broker real estate analyst real estate investor renewable energy system finance specialist securities analyst securities consultant securities research analyst securities underwriter statistical financial analyst stock analyst treasury analyst trust officer","340580","101350","5.7","0.117","0.632","0.69","launch"
"occ_13_1111_00","Management Analysts","consulting","management analyst management analysts administrative analyst administrative support coordinator business analyst business consultant business development analyst business management analyst business management consultant business operations analyst business process analyst business process consultant business systems analyst clerical methods analyst commercial specialist dealer analyst employment programs analyst forms analyst health information management business analyst (him business analyst) health information management data analyst (him data analyst) health program analyst health program specialist health systems analyst healthcare consultant human resource analyst (hr analyst) implementation consultant industrial analyst management and program analyst management consultant management scientist management systems auditor operations analyst organizational development consultant performance consultant performance management analyst program analyst program development specialist program evaluator program management analyst project management analyst records management analyst reports analyst survey analyst technical business analyst","893900","101190","8.8","0.127","0.668","0.69","launch"
"occ_15_2031_00","Operations Research Analysts","data","operations research analyst operations research analysts advanced analytics associate analytical strategist analytics consultant business analyst business operations analyst business process analyst continuous improvement specialist decision analyst decision scientist decision support analyst file system installer forms analyst liaison planner material liaison methods analyst methods consultant methods specialist office system analyst operations analyst (ops analyst) operations research analyst (ops research analyst) operations research scientist (ops research scientist) operations specialist (ops specialist) operations support specialist (ops support specialist) optimization analyst policy advisor policy officer procedure analyst procedure writer process analyst research analyst research assistant research associate research scientist research specialist research technician (research tech) researcher risk analyst sales operations analyst (sales ops analyst) standards analyst systems analyst systems consultant technical analyst","107760","91290","21.5","0.108","0.674","0.69","launch"
"occ_43_6011_00","Executive Secretaries and Executive Administrative Assistants","admin","executive assistant executive secretaries and executive administrative assistants administrative aide administrative assistant administrative associate administrative coordinator administrative liaison administrative office assistant administrative office specialist administrative officer administrative secretary administrative services assistant administrative specialist administrative support specialist clerical specialist confidential secretary congressional apprentice congressional staffer corporate secretary director's assistant executive administrative assistant executive administrator executive office assistant executive secretary executive staff assistant financial secretary human resources executive assistant (hr executive assistant) management assistant office administrator office assistant personal assistant personal secretary president's assistant program support assistant program support specialist project assistant protocol officer scheduler senior administrative assistant staff assistant trust manager assistant vp assistant (vice president's assistant) vp secretary (vice president secretary)","472770","74260","-1.6","0.192","0.431","0.68","launch"
"occ_13_1071_00","Human Resources Specialists","hr","hr specialist human resources specialists business intelligence engineer career development specialist career development technician career specialist certification specialist contract recruiter corporate recruiter credentialing coordinator credentialing specialist credentials specialist employee advisor employee counselor employee health maintenance program specialist employee operations examiner employee placement specialist employee service officer employment advisor employment appeals examiner employment interviewer employment officer employment program representative employment recruiter employment representative employment security officer employment service specialist employment specialist enlisted advisor ethics officer executive coach executive recruiter headhunter healthcare recruiter hr advisor (human resource advisor) hr analyst (human resources analyst) hr associate (human resources associate) hr business partner (human resources business partner) hr consultant (human resources consultant) hr coordinator (human resources coordinator) hr generalist (human resources generalist) hr recruiter (human resources recruiter) hr tech (human resources technician) hris analyst (human resources information system analyst) human resources generalist human resources representative (hr rep) human resources specialist (hr specialist) job developer job development specialist job interviewer job placement officer job placement specialist job recruiter job service consultant job service specialist labor contractor labor service representative labor services representative mentor recruiter morale officer outplacement consultant personnel advisor personnel analyst personnel consultant personnel coordinator personnel counselor personnel interviewer personnel officer personnel placement specialist personnel recruiter personnel representative personnel specialist personnel technician personnel worker placement coordinator placement counselor placement officer placement specialist prisoner classification interviewer recruiter recruiting coordinator recruiting specialist recruitment consultant resume writer retention specialist retirement officer rules examiner selection specialist sourcing recruiter staffing associate staffing consultant staffing coordinator staffing specialist student recruiter talent acquisition coordinator talent acquisition partner (tap) talent acquisition recruiter talent acquisition specialist talent recruiter technical recruiter volunteer coordinator workforce services representative workforce staffing advisor","917460","72910","6.2","0.191","0.562","0.68","launch"
"occ_41_3091_00","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","sales","sales representative sales representatives of services, except advertising, insurance, financial services, and travel account executive accounts manager accounts representative automobile club membership sales agent automotive sales consultant (auto sales consultant) business development representative business services sales representative business-to-business sales representative client relationship consultant customer service representative (customer service rep) customer service sales representative (customer service sales rep) field sales consultant field sales representative independent sales representative inside sales and customer service representative (inside sales and customer service rep) inside sales representative marketing representative member service representative (member service rep) member services representative (member services rep) membership representative (membership rep) membership solicitor outside sales representative pest control service sales agent product specialist route sales representative (route sales rep) sales advisor sales agent sales associate sales consultant sales coordinator sales development representative sales representative (sales rep) sales specialist salesman technical sales representative wireless sales specialist","1189330","66260","3.1","0.089","0.595","0.68","launch"
"occ_23_2011_00","Paralegals and Legal Assistants","legal","paralegal paralegals and legal assistants certified paralegal contract preparer contracts specialist corporate legal assistant corporate paralegal document processor estate planning paralegal family law paralegal immigration paralegal intellectual property paralegal law associate legal aide legal analyst legal assistant legal clerk legal processing assistant litigation legal assistant litigation paralegal litigation support specialist paralegal assistant paralegal specialist personal injury paralegal principal law clerk real estate paralegal summer associate trademark paralegal","367220","61010","0.2","0.198","0.457","0.67","launch"
"occ_23_1011_00","Lawyers","legal","lawyer lawyers admiralty lawyer agency legal counsel attorney attorney at law attorney general barrister business lawyer chief counsel city attorney city solicitor civil lawyer civil litigation attorney civil rights attorney claim attorney commonwealth attorney contracts attorney conveyancer corporate attorney corporate counsel corporate counselor corporate lawyer corporation counsel corporation lawyer counsel counselor at law county attorney county counsel criminal defense lawyer criminal justice lawyer criminal lawyer cyber legal advisor cybersecurity lawyer defense attorney district attorney divorce lawyer document review attorney employment attorney entertainment lawyer environmental attorney environmental lawyer estate conservator family law attorney family lawyer federal public defender foreign law consultant foreign legal consultant general counsel general counselor health care attorney immigration attorney immigration lawyer immigration specialist in-house counsel insurance attorney insurance counselor insurance defense attorney intellectual property lawyer law writer legal advisor legal arbitrator legal consultant legal counsel legal examiner legal research analyst legal researcher litigation associate litigation attorney military lawyer patent attorney patent lawyer patent solicitor personal injury attorney probate lawyer prosecuting attorney prosecutor public defender real estate attorney real estate lawyer solicitor special assistant attorney general sports attorney sports lawyer tariff counsel tax attorney tax lawyer title attorney title lawyer town attorney trial attorney trial lawyer workers' compensation attorney","747750","151160","4.1","0.152","0.714","0.66","launch"
"occ_41_3011_00","Advertising Sales Agents","sales","advertising sales agent advertising sales agents account planner account specialist advertising account executive advertising account representative advertising agent advertising assistant advertising consultant advertising coordinator advertising representative advertising sales representative (ad sales representative) advertising solicitor agent broker digital advertising sales representative (digital advertising sales rep) directory advertising sales representative display advertising sales representative field marketing representative field service representative graphic art sales representative idea man idea worker inside sales representative marketing coordinator marketing representative media sales representative outdoor advertising leasing agent outside sales representative radio and television time sales representative radio time salesperson sales consultant sales coordinator sales promotion representative sales representative sales specialist signs and displays sales representative signs and displays salesperson signs sales representative site leasing agent site promotion agent solicitor space buyer time broker time buyer yellow pages space salesperson","97470","61460","-6.4","0.244","0.589","0.65","launch"
"occ_11_3031_00","Financial Managers","finance","financial manager financial managers accountant supervisor accounting director accounting manager accounting supervisor accounts manager accounts payable manager accounts supervisor actuarial manager asset manager atm manager (automated teller machine manager) auditing manager auditor supervisor auto finance manager (automotive finance manager) bank branch manager bank manager banking branch manager banking center manager (bcm) banking manager banking supervisor branch manager budget manager business banking manager cash manager city comptroller collections manager comptroller cost accounting manager credit administration manager credit and collection manager credit department manager credit manager credit office manager credit union manager district branch manager exchange floor manager finance director finance manager financial center manager financial director financial institution branch manager financial institution manager financial officer financial planning and analysis manager financial planning manager financial reporting manager financial supervisor financial systems manager fiscal manager international bank manager investment manager paymaster reimbursement director residential mortgage manager revenue cycle manager risk and insurance manager risk management director tax director tax manager","818620","161700","14.8","0.173","0.633","0.65","launch"
"occ_27_3042_00","Technical Writers","content","technical writer technical writers assembly instructions writer clinical writer contracts writer document specialist documentation designer documentation specialist documentation writer engineering documentation specialist engineering writer grant writer handbook writer health science writer health technical writer information developer lexicographer manual writer medical technical writer medical writer narrative writer process description writer proposal coordinator proposal writer regulatory medical writer report writer requirements analyst scientific writer specifications writer technical communicator technical content professional technical proposal writer technical publications writer technician writer ux writer (user experience writer)","55530","91670","0.9","0.269","0.520","0.65","launch"
"occ_27_1024_00","Graphic Designers","creative","graphic designer graphic designers ad designer (advertising designer) ad layout worker (advertising layout worker) apparel graphic designer artist brand designer catalogue illustrator commercial artist concept artist creative designer design consultant designer digital artist forms designer graphic art designer graphic artist graphic design coordinator graphics coordinator graphics specialist interface designer label maker layout artist marketing graphic designer multimedia designer multimedia developer multimedia specialist online producer presentation designer presentation specialist production artist production designer production graphic designer publications designer studio designer technical illustrator visual designer visual graphic designer","214260","61300","2.1","0.131","0.622","0.64","launch"
"occ_43_9111_00","Statistical Assistants","data","statistical assistant statistical assistants actuarial analyst actuarial assistant actuarial technician actuary clerk administrative analyst advertising statistical clerk analytical clerk bookman chart calculator chart changer chart clerk compilation clerk compiler customer data technician data analysis assistant data analysis clerk data compiler data editing clerk data technician fiscal clerk mileage clerk prorate clerk proration clerk record tabulating clerk report clerk research assistant research associate statistical analyst statistical clerk statistical research assistant statistical technician statistics assistant survey data technician tabulating clerk tariff compiler tariff compiling clerk technical analyst voice and data technician wheelage clerk","5900","51440","-2.5","0.161","0.353","0.64","launch"
"occ_27_3043_00","Writers and Authors","creative","writer writers and authors advertisement agency copywriter (ad agency copywriter) advertisement copywriter (ad copywriter) advertisement writer (ad writer) advertising associate advertising copywriter advertising specialist advertising writer article writer author biographer blurb writer business writer communications specialist content creator content developer content writer copywriter creative copywriter creative writer curriculum writer digital content creator digital copywriter freelance copywriter freelance writer lyricist marketing copywriter marketing writer novelist online content developer playwright poet program writer promotion writer radio scriptwriter screenwriter search engine optimization copywriter (seo copywriter) short story writer song lyricist specification writer television writer verse writer web content writer","47800","72270","3.6","0.213","0.669","0.64","launch"
"occ_13_1151_00","Training and Development Specialists","hr","training specialist training and development specialists applications trainer apprenticeship and training representative auxiliary personnel inservice coordinator bilingual trainer certified epic trainer (certified electronic privacy information center trainer) computer software training specialist computer technology trainer computer training specialist corporate trainer course developer courseware developer curriculum developer curriculum writer cyber instructional curriculum developer cyber instructor cyber workforce developer development associate development coordinator development specialist driver retraining instructor e-learning designer employee development specialist employee training specialist fire department training officer green jobs trainer green material construction trade instructor hr trainer (human resources trainer) industrial trainer instructional specialist insurance employee trainer it technical trainer (information technology technical trainer) job development specialist job training specialist labor trainer leadership development specialist learning and development consultant learning and development specialist learning and development specialist (l and d specialist) management development specialist manpower development advisor manpower development specialist older worker specialist pd manager (professional development manager) personnel training officer product trainer research and development specialist (r and d specialist) sales trainer sales training specialist scheme technician security awareness training specialist skill training program coordinator skills trainer software trainer technical instructor technical trainer technical training coordinator trainer training and development consultant training consultant training developer training facilitator training supervisor workforce development analyst workforce development specialist workforce executive","436610","65850","10.8","0.180","0.621","0.63","launch"
"occ_15_1232_00","Computer User Support Specialists","software","it support specialist computer user support specialists application customer service representative (application csr) application support engineer applications analyst automatic data processing customer liaison (adp customer liaison) call center support representative (call center support rep) cloud operations specialist computer customer support specialist computer hardware technician (computer hardware tech) computer help desk representative (computer help desk rep) computer help desk specialist computer lab assistant (computer laboratory assistant) computer operations technician (computer operations tech) computer operator computer specialist computer support specialist computer support tech (computer support technician) computer system tech (computer systems technician) computer systems specialist computer tech (computer technician) computer technical specialist computer technologist customer liaison customer service technician (customer service tech) customer support analyst customer support rep (customer support representative) customer support specialist desktop analyst desktop support analyst desktop support engineer desktop support manager desktop support specialist desktop support technician (desktop support tech) desktop technician (desktop tech) end user support specialist health information technology specialist help desk analyst help desk coordinator help desk operator help desk representative (help desk rep) help desk specialist help desk support specialist help desk support technician (help desk support tech) help desk tech (help desk technician) is tech (information systems technician) it analyst (information technology analyst) it associate (information technology associate) it generalist (information technology generalist) it help desk tech (information technology help desk technician) it specialist (information technology specialist) it support analyst (information technology support analyst) it support engineer (information technology support engineer) it support specialist (information technology support specialist) it support tech (information technology support technician) it tech (information technology technician) lan applications support analyst (local area network applications support analyst) micro computer specialist micro computer support specialist micro computer technician (micro computer tech) operating systems specialist (os specialist) operations support technician (operations support tech) pc consultant (personal computer consultant) pc installation engineer (personal computer installation engineer) pc specialist (personal computer specialist) pc support specialist (personal computer support specialist) pc support tech (personal computer support technician) pc systems coordinator (personal computer systems coordinator) pc tech (personal computer technician) printer technician (printer tech) product support consultant product support engineer product support specialist service desk analyst software installer support engineer support specialist support technician (support tech) technical services specialist technical support analyst technical support call center representative (technical support call center rep) technical support engineer technical support representative (technical support rep) technical support specialist technical support technician (technical support tech) user support analyst user support specialist work station support specialist","697210","60340","-3.7","0.092","0.531","0.62","launch"
"occ_15_1253_00","Software Quality Assurance Analysts and Testers","software","qa analyst software quality assurance analysts and testers application integrator applications analyst applications quality assurance specialist (applications qa specialist) applications software engineering information technology specialist (applications software engineering it specialist) applications system analyst applications tester automation specialist automation tester beta tester bug bounty hunter computer consultant data modeler game tester implementation specialist information technology analyst (it analyst) information technology consultant (it consultant) it performance analyst (information technology performance analyst) malware analyst performance tester quality analyst quality assurance analyst (qa analyst) quality assurance automation engineer (qa automation engineer) quality assurance engineer (qa engineer) quality assurance specialist (qa specialist) quality assurance tester quality assurance tester (qa tester) quality engineer secure software assessor server engineer software application quality assurance specialist (software application qa specialist) software application support specialist software development test engineer software installer software quality assurance analyst (sqa analyst) software quality assurance consultant (software qa consultant) software quality assurance engineer (sqa engineer) software quality assurance specialist (sqa specialist) software quality assurance technician (sqa technician) software quality control specialist (software qc specialist) software quality engineer software quality tester software requirements engineer software systems engineer software test analyst software test engineer software tester software testing specialist solution architect solutions architect system testing and evaluation specialist systems analyst systems analyst engineer systems coordinator systems integration engineer systems software quality assurance specialist (systems software qa specialist) systems software specialist systems support engineer systems tester systems tester analyst technical support engineer technology analyst test automation engineer test engineer usability engineer user experience designer (ux designer) user interface and user experience architect (ui/ux architect) user interface and user experience designer (ui/ux designer) user interface designer (ui designer) validation engineer","199800","102610","10","0.475","0.538","0.62","launch"
"occ_27_3041_00","Editors","content","editor editors acquisitions editor acute editor advertising editor art editor assignment editor book editor business editor censor communications editor content editor continuity editor continuity reader copy editor copy reader development editor dictionary editor digital editor editorial specialist fashion editor features editor food editor greeting card editor index editor legal editor magazine editor make up editor manuscript editor manuscript reader market editor medical editor news editor newspaper copy editor newspaper editor newspaper managing editor newspaper photo editor online content editor opinion editor photo editor play reader production editor program proposals coordinator publication editor publications editor reader reviewer rewrite editor science editor scientific publications editor script editor script reader slot editor society editor sports editor story editor story reader technical editor telegraph editor web content specialist web editor","95480","75260","0.6","0.257","0.610","0.61","launch"
"occ_17_2072_00","Electronics Engineers, Except Computer","engineering","electronics engineer electronics engineers, except computer antenna engineer audio visual engineer (av engineer) audio visual manager automation engineer central office equipment engineer central office facilities planning engineer circuit design engineer circuit designer commercial engineer communications engineer compatibility test engineer control systems engineer customer equipment engineer design engineer dial equipment engineer electrical electronics engineers electrical systems engineer electronic design automation engineer (eda engineer) electronic design engineer electronic hardware engineer electronic parts designer electronic systems engineer electronics design engineer electronics research engineer electronics test engineer electrophonic engineer engineer equipment engineer evaluation engineer field engineer field programmable gate array verification engineer (fpga verification engineer) field service engineer fpga engineer (field-programmable gate array engineer) guidance and control systems engineer hardware engineer integrated circuit design engineer (ic design engineer) microwave engineer outside plant cable engineer outside plant engineer power electronics engineer product engineer radar engineer radio frequency design engineer (rf design engineer) radio frequency engineer (rf engineer) research and development engineer (r and d engineer) studio operations engineer telecommunications engineer test engineer traffic circuit engineer transmission and protection engineer transmitter engineer","93940","127590","6.2","0.282","0.630","0.61","launch"
"occ_17_2141_00","Mechanical Engineers","engineering","mechanical engineer mechanical engineers air conditioning engineer (ac engineer) application engineer automation engineer body engineer brake engineer car designer combustion engineer cooling and heating systems design engineer cryogenics engineer design engineer diesel engineer diesel retrofit designer distribution engineer dust control engineer electromechanical engineer engine designer engineer equipment engineer erecting engineer facilities mechanical design engineer field service engineer geothermal power generation mechanical engineer heating and cooling systems engineer heating engineer hvac design mechanical engineer (heating, ventilation, and air conditioning design mechanical engineer) hvac engineer (heating ventilation air conditioning engineer) hvac engineer (heating, ventilation and air conditioning engineer) hvac sensor and digital control designer (heating, ventilation and air conditioning sensor and digital control designer) hydraulic engineer hydroelectric plant mechanical engineer industrial green systems designer industrial retrofit designer installation engineer internal combustion engineer machine design engineer machine tool designer mechanical design engineer mechanical design facilities engineer mechanical designer mechanical development engineer mechanical engineering intern mechanical equipment test engineer mechanical hvac engineer (mechanical heating, ventilation, and air conditioning engineer) mechanical project engineer mechanical research engineer motorcycle designer plant engineer plant equipment engineer product development engineer product engineer products engineer products mechanical design engineer project engineer refrigeration engineer reliability engineer research and development engineer (r&d engineer) roller coaster designer roller coaster engineer servomechanism designer sheet metal engineer stress analyst supplier quality engineer (sqe) systems engineer test engineer test inspection engineer textile engineer tool and die engineer tool design engineer tool designer tool engineer tool maker tooling engineer utilization engineer ventilating engineer ventilating expert weapons designer weapons engineer wind turbine mechanical engineer","286760","102320","9.1","0.254","0.579","0.61","launch"
