occupation_id,title,human_constraint_target,human_constraint_confidence,adoption_context_target,adoption_context_confidence,demand_context_target,demand_context_confidence,wage_leverage_target,wage_leverage_confidence,routine_pressure_target,routine_pressure_confidence,recomposition_context_target,recomposition_context_confidence,wave_timing_target,wave_timing_confidence,specialization_resilience_target,specialization_resilience_confidence,role_heterogeneity_target,role_heterogeneity_confidence,model_human_guardrail,model_adoption_context,model_demand_context,model_wage_leverage,model_routine_pressure,model_recomposition_context,model_wave_timing,model_specialization_resilience,model_role_fragmentation,human_constraint_gap,adoption_context_gap,demand_context_gap,wage_leverage_gap,routine_pressure_gap,recomposition_context_gap,wave_timing_gap,specialization_resilience_gap,role_heterogeneity_gap,human_constraint_review,adoption_context_review,demand_context_review,wage_leverage_review,routine_pressure_review,recomposition_context_review,wave_timing_review,specialization_resilience_review,role_heterogeneity_review,observed_individual_exposure,individual_vs_org_gap,individual_usage_direction,individual_usage_source_flag,individual_usage_confidence,individual_usage_gap,individual_usage_review,external_context_exception,external_context_note,quality_source_mix,ors_source_mix,heterogeneity_source_mix,btos_source_mix,adaptation_source_mix,labor_release_year,highest_review_tier,primary_review_layer,primary_review_strength,primary_review_score,primary_review_reason,notes
occ_13_1031_00,"Claims Adjusters, Examiners, and Investigators",,0,0.343,0.865,0.181,0.85,0.387,0.85,0.507,0.52,0.504,0.822,0.437,0.822,0.434,0.52,0.289,0.799,0.674,0.37,0.348,0.518,0.379,0.416,0.6,0.593,0.27,,0.027,0.167,0.131,0.128,0.089,0.163,0.159,0.019,ok,ok,low,low,low,ok,low,low,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,demand_and_adoption,weak,0.085,Demand-context mismatch points to demand-expansion or adoption-realization assumptions rather than core task reachability.,launch_stub_generated|btos_covered_share=0.926|btos_percentile=0.467|derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56|routine_share=0.560|people_share=0.340|knowledge_share=0.100|job_zone_norm=0.750|adoption_realization_context=0.491|demand_expansion_context=0.216|labor_context_2024
occ_13_1041_00,Compliance Officers,0.556,0.763,0.313,0.77,0.396,0.85,0.532,0.85,0.505,0.63,0.457,0.775,0.442,0.775,0.447,0.63,0.347,0.838,0.699,0.352,0.44,0.553,0.366,0.385,0.501,0.624,0.296,0.143,0.039,0.044,0.021,0.139,0.073,0.059,0.177,0.051,low,ok,ok,ok,low,ok,ok,low,ok,0.121,-0.296,org_higher,review,0.65,0.231,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.125,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.706|btos_percentile=0.333|derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56|routine_share=0.560|people_share=0.340|knowledge_share=0.100|job_zone_norm=0.750|adoption_realization_context=0.372|demand_expansion_context=0.404|labor_context_2024|recomposition_usage_damp=0.175|individual_usage_flag=review|direction=org_higher
occ_13_1051_00,Cost Estimators,0.304,0.721,0.24,0.879,0.219,0.85,0.472,0.85,0.507,0.5,0.31,0.833,0.289,0.833,0.436,0.5,0.301,0.787,0.495,0.305,0.376,0.374,0.451,0.322,0.6,0.472,0.39,0.191,0.065,0.157,0.098,0.056,0.012,0.311,0.035,0.089,medium,ok,low,ok,ok,ok,high,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,accountability_guardrails,strong,0.158,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.993|btos_percentile=0.000|derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56|routine_share=0.560|people_share=0.340|knowledge_share=0.100|job_zone_norm=0.750|adoption_realization_context=0.130|demand_expansion_context=0.263|labor_context_2024
occ_13_1071_00,Human Resources Specialists,0.497,0.763,0.302,0.836,0.596,0.85,0.419,0.85,0.346,0.65,0.397,0.827,0.433,0.827,0.488,0.65,0.309,0.845,0.592,0.34,0.54,0.516,0.354,0.336,0.479,0.568,0.343,0.095,0.038,0.056,0.097,0.008,0.062,0.046,0.08,0.034,ok,ok,ok,ok,ok,ok,ok,ok,ok,0.403,0.327,individual_higher,review,0.65,0.063,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,ok,accountability_guardrails,strong,0.083,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.860|btos_percentile=0.283|derived_launch_aggregate|knowledge_share=0.10|people_share=0.51|routine_share=0.32|routine_share=0.320|people_share=0.510|knowledge_share=0.100|job_zone_norm=0.750|adoption_realization_context=0.356|demand_expansion_context=0.570|labor_context_2024|individual_usage_flag=review|direction=individual_higher
occ_13_1081_00,Logisticians,,0,0.269,0.817,0.837,0.85,0.504,0.85,0.501,0.57,0.414,0.797,0.491,0.797,0.469,0.57,0.338,0.817,0.605,0.334,0.637,0.532,0.349,0.343,0.55,0.575,0.338,,0.065,0.2,0.028,0.151,0.071,0.059,0.106,0,ok,ok,medium,ok,low,ok,ok,ok,ok,0.157,-0.001,aligned,ok,0.65,0.177,low,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,demand_and_adoption,weak,0.102,Demand-context mismatch points to demand-expansion or adoption-realization assumptions rather than core task reachability.,launch_stub_generated|btos_covered_share=0.815|btos_percentile=0.133|derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56|routine_share=0.560|people_share=0.340|knowledge_share=0.100|job_zone_norm=0.750|adoption_realization_context=0.225|demand_expansion_context=0.803|labor_context_2024
occ_13_1082_00,Project Management Specialists,0.687,0.721,0.368,0.86,0.499,0.85,0.625,0.85,0.239,0.53,0.485,0.824,0.486,0.824,0.602,0.53,0.322,0.803,0.652,0.386,0.524,0.604,0.337,0.384,0.501,0.618,0.28,0.035,0.018,0.025,0.021,0.098,0.102,0.014,0.016,0.042,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,ok,recomposition_and_timing,medium,0.084,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.939|btos_percentile=0.583|derived_launch_aggregate|knowledge_share=0.44|people_share=0.36|routine_share=0.10|routine_share=0.100|people_share=0.360|knowledge_share=0.440|job_zone_norm=0.750|adoption_realization_context=0.609|demand_expansion_context=0.461|labor_context_2024
occ_13_1111_00,Management Analysts,0.58,0.721,0.442,0.877,0.731,0.85,0.653,0.85,0.247,0.64,0.646,0.855,0.672,0.855,0.642,0.64,0.33,0.841,0.653,0.476,0.681,0.665,0.298,0.48,0.6,0.649,0.278,0.073,0.034,0.05,0.012,0.051,0.167,0.072,0.007,0.052,ok,ok,ok,ok,ok,low,ok,ok,ok,0.243,-0.557,org_higher,review,0.65,0.233,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.143,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.955|btos_percentile=0.917|derived_launch_aggregate|knowledge_share=0.57|people_share=0.32|routine_share=0.11|routine_share=0.110|people_share=0.320|knowledge_share=0.570|job_zone_norm=0.750|adoption_realization_context=0.901|demand_expansion_context=0.726|labor_context_2024|recomposition_usage_damp=0.450|individual_usage_flag=review|direction=org_higher
occ_13_1151_00,Training and Development Specialists,0.466,0.763,0.295,0.832,0.736,0.85,0.387,0.85,0.345,0.59,0.401,0.815,0.466,0.815,0.493,0.59,0.314,0.823,0.574,0.354,0.607,0.49,0.354,0.338,0.487,0.548,0.353,0.108,0.059,0.129,0.103,0.009,0.063,0.021,0.055,0.039,ok,ok,low,ok,ok,ok,ok,ok,ok,0.279,0.179,individual_higher,watch,0.65,0.075,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.095,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.871|btos_percentile=0.250|derived_launch_aggregate|knowledge_share=0.10|people_share=0.51|routine_share=0.32|routine_share=0.320|people_share=0.510|knowledge_share=0.100|job_zone_norm=0.750|adoption_realization_context=0.339|demand_expansion_context=0.703|labor_context_2024|individual_usage_flag=watch|direction=individual_higher
occ_13_1161_00,Market Research Analysts and Marketing Specialists,0.481,0.721,0.398,0.886,0.673,0.85,0.528,0.85,0.25,0.51,0.583,0.838,0.612,0.838,0.621,0.51,0.361,0.796,0.556,0.451,0.637,0.55,0.36,0.449,0.6,0.561,0.322,0.075,0.053,0.036,0.022,0.11,0.134,0.012,0.06,0.039,ok,ok,ok,ok,ok,low,ok,ok,ok,0.648,0.27,individual_higher,review,0.65,0.197,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.112,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.990|btos_percentile=0.717|derived_launch_aggregate|knowledge_share=0.55|people_share=0.28|routine_share=0.10|routine_share=0.100|people_share=0.280|knowledge_share=0.550|job_zone_norm=0.750|adoption_realization_context=0.735|demand_expansion_context=0.664|labor_context_2024|individual_usage_flag=review|direction=individual_higher
occ_13_1199_00,"Business Operations Specialists, All Other",0.429,0.636,0.31,0.838,0.457,0.85,0.569,0.85,0.308,0.48,0.383,0.796,0.41,0.796,0.564,0.48,0.365,0.785,0.58,0.363,0.545,0.556,0.379,0.344,0.502,0.573,0.325,0.151,0.053,0.088,0.013,0.071,0.039,0.092,0.008,0.04,low,ok,ok,ok,ok,ok,ok,ok,ok,0.185,-0.123,org_higher,watch,0.65,0.178,low,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.11,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.873|btos_percentile=0.317|derived_launch_aggregate|knowledge_share=0.57|people_share=0.32|routine_share=0.11|routine_share=0.110|people_share=0.320|knowledge_share=0.570|job_zone_norm=0.500|adoption_realization_context=0.388|demand_expansion_context=0.490|labor_context_2024|individual_usage_flag=watch|direction=org_higher
occ_13_2011_00,Accountants and Auditors,0.492,0.721,0.376,0.86,0.482,0.85,0.524,0.85,0.399,0.54,0.574,0.824,0.554,0.824,0.534,0.54,0.363,0.806,0.649,0.418,0.492,0.565,0.389,0.46,0.6,0.604,0.299,0.157,0.042,0.01,0.041,0.01,0.115,0.046,0.07,0.064,low,ok,ok,ok,ok,ok,ok,ok,ok,0.348,0.017,aligned,ok,0.65,0.07,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.13,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.925|btos_percentile=0.617|derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32|routine_share=0.320|people_share=0.130|knowledge_share=0.390|job_zone_norm=0.750|adoption_realization_context=0.643|demand_expansion_context=0.467|labor_context_2024
occ_13_2051_00,Financial and Investment Analysts,0.381,0.678,0.339,0.864,0.497,0.85,0.649,0.85,0.397,0.56,0.497,0.833,0.487,0.833,0.542,0.56,0.357,0.813,0.565,0.383,0.477,0.533,0.363,0.406,0.589,0.564,0.317,0.184,0.044,0.02,0.116,0.034,0.092,0.103,0.022,0.04,medium,ok,ok,ok,ok,ok,ok,ok,ok,0.572,0.469,individual_higher,review,0.65,0.189,medium,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,accountability_guardrails,strong,0.143,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.943|btos_percentile=0.450|derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32|routine_share=0.320|people_share=0.130|knowledge_share=0.390|job_zone_norm=0.750|adoption_realization_context=0.514|demand_expansion_context=0.451|labor_context_2024|individual_usage_flag=review|direction=individual_higher
occ_13_2052_00,Personal Financial Advisors,,0,0.361,0.888,0.663,0.85,0.794,0.85,0.395,0.56,0.557,0.849,0.571,0.849,0.549,0.56,0.359,0.813,0.7,0.396,0.562,0.648,0.336,0.423,0.585,0.656,0.258,,0.035,0.101,0.146,0.06,0.134,0.013,0.107,0.101,ok,ok,ok,low,ok,low,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,recomposition_and_timing,medium,0.114,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.990|btos_percentile=0.550|derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32|routine_share=0.320|people_share=0.130|knowledge_share=0.390|job_zone_norm=0.750|adoption_realization_context=0.592|demand_expansion_context=0.614|labor_context_2024
occ_13_2072_00,Loan Officers,0.471,0.763,0.354,0.882,0.322,0.85,0.488,0.85,0.4,0.62,0.507,0.856,0.466,0.856,0.527,0.62,0.36,0.834,0.651,0.378,0.419,0.57,0.365,0.408,0.509,0.612,0.286,0.18,0.024,0.097,0.082,0.035,0.099,0.043,0.085,0.074,low,ok,ok,ok,ok,ok,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,accountability_guardrails,strong,0.158,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.976|btos_percentile=0.517|derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32|routine_share=0.320|people_share=0.130|knowledge_share=0.390|job_zone_norm=0.750|adoption_realization_context=0.545|demand_expansion_context=0.320|labor_context_2024
occ_15_1211_00,Computer Systems Analysts,0.328,0.721,0.372,0.866,0.54,0.85,0.69,0.85,0.336,0.63,0.512,0.848,0.505,0.848,0.55,0.63,0.35,0.838,0.521,0.399,0.48,0.531,0.354,0.408,0.519,0.546,0.343,0.193,0.027,0.06,0.159,0.019,0.104,0.014,0.004,0.007,medium,ok,ok,low,ok,ok,ok,ok,ok,0.276,-0.111,org_higher,watch,0.65,0.123,low,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,accountability_guardrails,strong,0.16,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.947|btos_percentile=0.600|derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12|routine_share=0.120|people_share=0.160|knowledge_share=0.540|job_zone_norm=0.500|adoption_realization_context=0.618|demand_expansion_context=0.461|labor_context_2024|individual_usage_flag=watch|direction=org_higher
occ_15_1212_00,Information Security Analysts,,0,0.42,0.828,0.773,0.85,0.766,0.85,0.27,0.52,0.631,0.795,0.655,0.795,0.649,0.52,0.357,0.799,0.686,0.468,0.644,0.586,0.452,0.485,0.6,0.615,0.285,,0.048,0.129,0.18,0.182,0.145,0.055,0.033,0.072,ok,ok,low,medium,medium,low,ok,ok,ok,,,,no_data,0,,ok,,,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,recomposition_and_timing,medium,0.115,"Recomposition-context mismatch points to workflow-compression, organizational-conversion, or wave-timing assumptions rather than core task reachability.",launch_stub_generated|btos_covered_share=0.838|btos_percentile=0.817|derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12|routine_share=0.120|people_share=0.160|knowledge_share=0.540|job_zone_norm=0.750|adoption_realization_context=0.791|demand_expansion_context=0.697|labor_context_2024
