"occupation_id","core_task_share","support_task_share","mean_value_centrality","mean_bargaining_power_weight","dependency_density","coverage_gap_flag","review_status","notes"
"occ_17_2072_00","0.6424","0.2448","0.7083","0.6941","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_17_2112_00","0.5034","0.4966","0.7133","0.7036","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_17_2141_00","0.5798","0.3939","0.7251","0.7075","0.6250","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_23_1011_00","0.9636","0.0253","0.8593","0.8325","0.9385","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_23_2011_00","0.6339","0.3484","0.7294","0.6487","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_1024_00","0.8992","0.0938","0.8212","0.6461","0.3557","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3023_00","0.7096","0.2901","0.8101","0.6749","0.4100","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3031_00","0.7716","0.2000","0.7615","0.6562","0.6277","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3041_00","0.8408","0.1404","0.8145","0.7299","0.7500","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3042_00","0.9082","0.0634","0.7390","0.6403","0.4113","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3043_00","0.6599","0.3404","0.7297","0.6716","0.4167","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_41_3011_00","0.9635","0.0272","0.8739","0.7556","0.6884","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_41_3021_00","0.7614","0.2387","0.8064","0.7769","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_41_3031_00","0.9226","0.0717","0.8756","0.7900","0.3218","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_41_3091_00","0.8264","0.1742","0.7245","0.8005","0.5628","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_41_4011_00","0.8805","0.1116","0.8438","0.7663","0.1894","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_1011_00","0.6205","0.3369","0.7426","0.6765","0.8995","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_3021_00","0.7150","0.2656","0.7429","0.6833","0.2520","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_3031_00","0.7581","0.2185","0.7559","0.6444","0.3024","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_4031_00","0.8207","0.1617","0.7690","0.5885","0.2414","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_4051_00","0.7963","0.1929","0.8199","0.7645","0.9474","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_4131_00","0.8827","0.1175","0.8380","0.7212","0.6494","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_4171_00","0.6549","0.2598","0.7318","0.5769","0.5411","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_6011_00","0.5991","0.3805","0.7717","0.6750","0.7231","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_6014_00","0.4480","0.4808","0.6960","0.6150","0.4286","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_9041_00","0.8101","0.1347","0.7832","0.6143","0.4667","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_9061_00","0.4373","0.5162","0.7127","0.6424","0.5254","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_9111_00","0.8370","0.1630","0.7955","0.7085","0.6667","false","seeded_role_graph","seeded_role_graph_ready_for_review"
