occupation_id,workflow_compression_context,organizational_conversion_context,next_scenario_lift,distant_scenario_lift,organizational_adoption_ceiling,economic_pressure_context,wave_acceleration_context,displacement_wave_bias,recomposition_context_confidence,source_mix,notes
occ_13_1031_00,0.4828,0.4365,0.4649,0.5945,0.4897,0.4675,0.4649,0.5241,0.8443,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.300|people_share=0.180|knowledge_share=0.380|job_zone_norm=0.750|adoption_realization_context=0.490|demand_expansion_context=0.218|organizational_adoption_ceiling=0.490|economic_pressure_context=0.468
occ_13_1041_00,0.4003,0.3897,0.4168,0.5428,0.4000,0.5017,0.4168,0.4696,0.7708,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.320|people_share=0.440|knowledge_share=0.240|job_zone_norm=0.750|adoption_realization_context=0.368|demand_expansion_context=0.411|organizational_adoption_ceiling=0.400|economic_pressure_context=0.502
occ_13_1051_00,0.3837,0.2557,0.3372,0.4613,0.2492,0.5096,0.3372,0.4484,0.8534,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.540|people_share=0.060|knowledge_share=0.400|job_zone_norm=0.750|adoption_realization_context=0.130|demand_expansion_context=0.267|organizational_adoption_ceiling=0.249|economic_pressure_context=0.510
occ_13_1071_00,0.3658,0.4167,0.4243,0.5554,0.4509,0.4841,0.4243,0.4857,0.8412,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.140|people_share=0.230|knowledge_share=0.390|job_zone_norm=0.750|adoption_realization_context=0.365|demand_expansion_context=0.581|organizational_adoption_ceiling=0.451|economic_pressure_context=0.484
occ_13_1081_00,0.2768,0.3740,0.3825,0.5142,0.3840,0.5283,0.3825,0.4342,0.7932,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.190|people_share=0.530|knowledge_share=0.270|job_zone_norm=0.750|adoption_realization_context=0.228|demand_expansion_context=0.808|organizational_adoption_ceiling=0.384|economic_pressure_context=0.528
occ_13_1082_00,0.4626,0.5133,0.5226,0.6637,0.6119,0.5245,0.5226,0.5358,0.8381,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.160|people_share=0.630|knowledge_share=0.000|job_zone_norm=0.750|adoption_realization_context=0.612|demand_expansion_context=0.469|organizational_adoption_ceiling=0.612|economic_pressure_context=0.524
occ_13_1111_00,0.5740,0.7807,0.6866,0.8236,0.8988,0.4506,0.6866,0.6761,0.8532,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.150|knowledge_share=0.850|job_zone_norm=0.750|adoption_realization_context=0.899|demand_expansion_context=0.730|organizational_adoption_ceiling=0.899|economic_pressure_context=0.451
occ_13_1151_00,0.3211,0.4202,0.4105,0.5410,0.4456,0.4702,0.4105,0.4530,0.8153,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.130|people_share=0.440|knowledge_share=0.430|job_zone_norm=0.750|adoption_realization_context=0.347|demand_expansion_context=0.705|organizational_adoption_ceiling=0.446|economic_pressure_context=0.470
occ_13_1161_00,0.5782,0.6873,0.6426,0.7719,0.7451,0.5426,0.6426,0.6752,0.8681,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.170|people_share=0.000|knowledge_share=0.580|job_zone_norm=0.750|adoption_realization_context=0.740|demand_expansion_context=0.666|organizational_adoption_ceiling=0.745|economic_pressure_context=0.543
occ_13_2011_00,0.5729,0.5866,0.5911,0.7222,0.6465,0.5666,0.5911,0.6425,0.8303,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.270|people_share=0.050|knowledge_share=0.300|job_zone_norm=0.750|adoption_realization_context=0.646|demand_expansion_context=0.475|organizational_adoption_ceiling=0.646|economic_pressure_context=0.567
occ_13_2051_00,0.4041,0.4638,0.4394,0.5672,0.5131,0.3673,0.4394,0.4767,0.8545,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.080|people_share=0.240|knowledge_share=0.680|job_zone_norm=0.750|adoption_realization_context=0.513|demand_expansion_context=0.459|organizational_adoption_ceiling=0.513|economic_pressure_context=0.367
occ_13_2052_00,0.4052,0.5294,0.4980,0.6323,0.5937,0.4635,0.4980,0.5034,0.8727,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.050|people_share=0.610|knowledge_share=0.290|job_zone_norm=0.750|adoption_realization_context=0.594|demand_expansion_context=0.626|organizational_adoption_ceiling=0.594|economic_pressure_context=0.464
occ_13_2072_00,0.4527,0.4665,0.4728,0.6070,0.5452,0.4364,0.4728,0.5103,0.8703,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.170|people_share=0.320|knowledge_share=0.390|job_zone_norm=0.750|adoption_realization_context=0.545|demand_expansion_context=0.325|organizational_adoption_ceiling=0.545|economic_pressure_context=0.436
occ_15_1211_00,0.4459,0.5148,0.4872,0.6237,0.6211,0.3568,0.4872,0.5091,0.8579,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.270|knowledge_share=0.640|job_zone_norm=0.500|adoption_realization_context=0.621|demand_expansion_context=0.468|organizational_adoption_ceiling=0.621|economic_pressure_context=0.357
occ_15_1212_00,0.7689,0.7509,0.7581,0.8835,0.7872,0.7283,0.7581,0.7984,0.8231,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.690|people_share=0.030|knowledge_share=0.260|job_zone_norm=0.750|adoption_realization_context=0.787|demand_expansion_context=0.710|organizational_adoption_ceiling=0.787|economic_pressure_context=0.728
occ_15_1232_00,0.5895,0.6074,0.5954,0.7443,0.8057,0.3715,0.5954,0.6108,0.8259,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.100|people_share=0.110|knowledge_share=0.690|job_zone_norm=0.500|adoption_realization_context=0.806|demand_expansion_context=0.193|organizational_adoption_ceiling=0.806|economic_pressure_context=0.371
occ_15_1241_00,0.5850,0.6802,0.6445,0.7954,0.8788,0.4220,0.6445,0.6361,0.8612,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.050|people_share=0.300|knowledge_share=0.530|job_zone_norm=0.750|adoption_realization_context=0.879|demand_expansion_context=0.507|organizational_adoption_ceiling=0.879|economic_pressure_context=0.422
occ_15_1244_00,0.5268,0.5198,0.5288,0.6731,0.6741,0.4018,0.5288,0.5544,0.8447,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.180|people_share=0.260|knowledge_share=0.490|job_zone_norm=0.750|adoption_realization_context=0.674|demand_expansion_context=0.172|organizational_adoption_ceiling=0.674|economic_pressure_context=0.402
occ_15_1252_00,0.5924,0.6964,0.6405,0.7830,0.8603,0.3828,0.6405,0.6446,0.8514,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.070|people_share=0.060|knowledge_share=0.870|job_zone_norm=0.750|adoption_realization_context=0.860|demand_expansion_context=0.558|organizational_adoption_ceiling=0.860|economic_pressure_context=0.383
occ_15_1253_00,0.6390,0.6935,0.6763,0.8202,0.8437,0.5255,0.6763,0.7006,0.8875,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.150|people_share=0.030|knowledge_share=0.400|job_zone_norm=0.750|adoption_realization_context=0.844|demand_expansion_context=0.526|organizational_adoption_ceiling=0.844|economic_pressure_context=0.525
occ_15_2031_00,0.4524,0.5760,0.5297,0.6620,0.6475,0.4277,0.5297,0.5704,0.7128,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.000|knowledge_share=0.740|job_zone_norm=1.000|adoption_realization_context=0.597|demand_expansion_context=0.679|organizational_adoption_ceiling=0.647|economic_pressure_context=0.428
occ_17_2051_00,0.5460,0.6135,0.5751,0.7157,0.7629,0.3564,0.5751,0.5977,0.8197,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.040|people_share=0.000|knowledge_share=0.850|job_zone_norm=0.750|adoption_realization_context=0.763|demand_expansion_context=0.397|organizational_adoption_ceiling=0.763|economic_pressure_context=0.356
occ_17_2071_00,0.3714,0.4115,0.3968,0.5260,0.4693,0.3303,0.3968,0.4470,0.8159,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.030|people_share=0.150|knowledge_share=0.720|job_zone_norm=0.750|adoption_realization_context=0.455|demand_expansion_context=0.437|organizational_adoption_ceiling=0.469|economic_pressure_context=0.330
occ_17_2072_00,0.3686,0.3998,0.3950,0.5249,0.4545,0.3599,0.3950,0.4398,0.8519,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.050|people_share=0.290|knowledge_share=0.530|job_zone_norm=0.750|adoption_realization_context=0.455|demand_expansion_context=0.409|organizational_adoption_ceiling=0.455|economic_pressure_context=0.360
occ_17_2112_00,0.2657,0.2730,0.3024,0.4351,0.3140,0.3880,0.3024,0.3943,0.8487,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.090|people_share=0.060|knowledge_share=0.590|job_zone_norm=0.750|adoption_realization_context=0.168|demand_expansion_context=0.547|organizational_adoption_ceiling=0.314|economic_pressure_context=0.388
occ_17_2141_00,0.3123,0.2800,0.3121,0.4405,0.3122,0.3677,0.3121,0.3998,0.8646,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.230|people_share=0.070|knowledge_share=0.700|job_zone_norm=0.750|adoption_realization_context=0.199|demand_expansion_context=0.465|organizational_adoption_ceiling=0.312|economic_pressure_context=0.368
occ_23_1011_00,0.2925,0.3227,0.3208,0.4494,0.3647,0.3093,0.3208,0.3609,0.3815,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.470|knowledge_share=0.530|job_zone_norm=1.000|adoption_realization_context=0.342|demand_expansion_context=0.319|organizational_adoption_ceiling=0.365|economic_pressure_context=0.309
occ_23_2011_00,0.7148,0.7845,0.7640,0.9054,0.9137,0.6398,0.7640,0.7667,0.7971,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.360|people_share=0.250|knowledge_share=0.280|job_zone_norm=0.500|adoption_realization_context=0.914|demand_expansion_context=0.516|organizational_adoption_ceiling=0.914|economic_pressure_context=0.640
occ_27_1024_00,0.5361,0.6777,0.6186,0.7601,0.8170,0.4199,0.6186,0.6202,0.8801,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.200|knowledge_share=0.710|job_zone_norm=0.750|adoption_realization_context=0.817|demand_expansion_context=0.481|organizational_adoption_ceiling=0.817|economic_pressure_context=0.420
occ_27_3023_00,0.6528,0.7764,0.7270,0.8762,0.9649,0.4953,0.7270,0.7173,0.8618,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.120|people_share=0.190|knowledge_share=0.590|job_zone_norm=0.750|adoption_realization_context=0.965|demand_expansion_context=0.410|organizational_adoption_ceiling=0.965|economic_pressure_context=0.495
occ_27_3031_00,0.4670,0.6152,0.5638,0.7009,0.7112,0.4473,0.5638,0.5606,0.8540,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.030|people_share=0.470|knowledge_share=0.500|job_zone_norm=0.750|adoption_realization_context=0.711|demand_expansion_context=0.579|organizational_adoption_ceiling=0.711|economic_pressure_context=0.447
occ_27_3041_00,0.6028,0.7687,0.7038,0.8513,0.9416,0.4789,0.7038,0.6926,0.8648,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.210|knowledge_share=0.600|job_zone_norm=0.750|adoption_realization_context=0.942|demand_expansion_context=0.505|organizational_adoption_ceiling=0.942|economic_pressure_context=0.479
