"occupation_id","direct_task_pressure","indirect_dependency_pressure","function_exposure_pressure","retained_function_strength","retained_accountability_strength","retained_bargaining_power","role_fragmentation_risk","role_compressibility","demand_expansion_signal","delegation_likelihood","headcount_displacement_risk","role_transformation_type","confidence","source_mix","notes"
"occ_13_1031_00","0.4641","0.0612","0.3803","0.6519","0.6666","0.6081","0.1992","0.2499","0.3390","0.3637","0.3052","workflow_recomposition","0.7058","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7114|support_high_pressure=0.0068|routine_high_pressure=0.2512|benchmark_mean=0.4216|function_anchors=2"
"occ_13_1041_00","0.4485","0.1141","0.3493","0.7274","0.7743","0.6286","0.2459","0.2500","0.3900","0.3900","0.2786","workflow_recomposition","0.7023","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7624|support_high_pressure=0.1611|routine_high_pressure=0.1611|benchmark_mean=0.4600|function_anchors=2|calibration=reviewed_calibration|compliance_work_retains_human_authority_liability_and_escalation_ownership"
"occ_13_1051_00","0.5328","0.2855","0.4481","0.5683","0.5120","0.5660","0.3271","0.3111","0.3492","0.4785","0.4003","workflow_recomposition","0.7583","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5724|support_high_pressure=0.1249|routine_high_pressure=0.2375|benchmark_mean=0.5811|function_anchors=2"
"occ_13_1071_00","0.4247","0.0757","0.3413","0.6636","0.6696","0.5911","0.2024","0.1685","0.4491","0.3659","0.2654","workflow_recomposition","0.7056","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6506|support_high_pressure=0.0108|routine_high_pressure=0.0108|benchmark_mean=0.5200|function_anchors=2|calibration=reviewed_calibration|hr_work_retains_manager_coaching_and_employee_trust"
"occ_13_1081_00","0.4392","0.1084","0.3464","0.6140","0.5918","0.5515","0.2181","0.1709","0.4778","0.3874","0.2871","workflow_recomposition","0.6736","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5670|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.5600|function_anchors=1|calibration=reviewed_calibration|logistics_work_recomposes_but_supply_coordination_and_tradeoffs_remain_human"
"occ_13_1082_00","0.4368","0.1385","0.3613","0.6582","0.6253","0.5794","0.2330","0.1916","0.4978","0.4028","0.2776","workflow_recomposition","0.6979","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6456|support_high_pressure=0.0302|routine_high_pressure=0.0302|benchmark_mean=0.3500|function_anchors=2|calibration=reviewed_calibration|project_coordination_retains_significant_human_ownership"
"occ_13_1111_00","0.3711","0.1955","0.3287","0.6971","0.6135","0.7006","0.2122","0.1485","0.5473","0.3570","0.2558","workflow_recomposition","0.7298","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6516|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.5500|function_anchors=2|calibration=reviewed_calibration|recommendation_and_adoption_work_remain_core"
"occ_13_1151_00","0.4332","0.1181","0.3351","0.6674","0.6526","0.6067","0.2085","0.1672","0.4777","0.3984","0.2665","workflow_recomposition","0.6885","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6420|support_high_pressure=0.0154|routine_high_pressure=0.0154|benchmark_mean=0.6000|function_anchors=1|calibration=reviewed_calibration|learning_roles_recompose_but_program_ownership_remains_human"
"occ_13_1161_00","0.4893","0.2419","0.3857","0.5708","0.4959","0.5749","0.2953","0.2429","0.5180","0.4631","0.3705","workflow_recomposition","0.7244","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5311|support_high_pressure=0.1030|routine_high_pressure=0.1030|benchmark_mean=0.6929|function_anchors=2|calibration=reviewed_calibration|marketing_ops_and_analysis_face_stronger_tooling_pressure"
"occ_13_1199_00","0.5355","0.3598","0.4814","0.6109","0.5636","0.6579","0.3345","0.3159","0.4729","0.5200","0.3949","workflow_recomposition","0.7167","src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6190|support_high_pressure=0.1400|routine_high_pressure=0.2817|benchmark_mean=0.4500|function_anchors=1|calibration=reviewed_calibration|broad_ops_role_still_requires_human_follow_through_and_judgment"
"occ_13_2011_00","0.4957","0.0653","0.4161","0.6508","0.6763","0.5678","0.3009","0.3381","0.4379","0.4344","0.3373","workflow_recomposition","0.7188","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7167|support_high_pressure=0.2746|routine_high_pressure=0.2746|benchmark_mean=0.5500|function_anchors=3|calibration=reviewed_calibration|finance_control_work_retains_more_senior_residual_value"
"occ_13_2051_00","0.4898","0.1263","0.3703","0.6194","0.6453","0.5048","0.2538","0.2340","0.4403","0.4246","0.3121","workflow_recomposition","0.7214","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6559|support_high_pressure=0.0893|routine_high_pressure=0.0893|benchmark_mean=0.5800|function_anchors=2|calibration=reviewed_calibration|finance_analysis_recomposes_but_tradeoff_judgment_remains"
"occ_13_2052_00","0.4492","0.2186","0.3715","0.6566","0.6678","0.5911","0.2341","0.1836","0.4711","0.4012","0.3031","workflow_recomposition","0.7695","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7328|support_high_pressure=0.0367|routine_high_pressure=0.0367|benchmark_mean=0.6522|function_anchors=2"
"occ_13_2072_00","0.4996","0.1249","0.4146","0.6044","0.6366","0.5169","0.2791","0.3005","0.4107","0.4197","0.3508","workflow_recomposition","0.7559","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6899|support_high_pressure=0.1544|routine_high_pressure=0.2309|benchmark_mean=0.6809|function_anchors=2"
"occ_15_1211_00","0.4569","0.1386","0.3542","0.6520","0.5781","0.5926","0.2289","0.1766","0.4648","0.4222","0.2871","workflow_recomposition","0.7398","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6060|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.5800|function_anchors=2|calibration=reviewed_calibration|requirements_and_integration_ownership_retained"
"occ_15_1212_00","0.4369","0.2145","0.3876","0.6606","0.6706","0.6316","0.2177","0.1550","0.6135","0.4070","0.2784","workflow_recomposition","0.7783","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7299|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6558|function_anchors=2"
"occ_15_1232_00","0.4639","0.2450","0.3766","0.5808","0.5105","0.5684","0.2919","0.2617","0.3844","0.4249","0.3594","workflow_recomposition","0.7912","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5304|support_high_pressure=0.0845|routine_high_pressure=0.1597|benchmark_mean=0.7622|function_anchors=2"
"occ_15_1241_00","0.3899","0.1177","0.3045","0.6671","0.6350","0.5986","0.1991","0.1601","0.5147","0.3450","0.2621","workflow_recomposition","0.7554","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6841|support_high_pressure=0.0099|routine_high_pressure=0.0099|benchmark_mean=0.6722|function_anchors=2"
"occ_15_1244_00","0.4865","0.1910","0.3875","0.5957","0.5589","0.5482","0.3154","0.3039","0.4129","0.4327","0.3665","workflow_recomposition","0.7677","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6031|support_high_pressure=0.1971|routine_high_pressure=0.1971|benchmark_mean=0.6476|function_anchors=2"
"occ_15_1252_00","0.5584","0.2344","0.3877","0.6514","0.5809","0.6003","0.2600","0.2093","0.5389","0.5004","0.3097","workflow_recomposition","0.7266","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6071|support_high_pressure=0.0000|routine_high_pressure=0.0603|benchmark_mean=0.7000|function_anchors=2|calibration=reviewed_calibration|software_building_remains_high_exposure_but_core_system_ownership_retained"
"occ_15_1253_00","0.4914","0.0865","0.3980","0.5882","0.5313","0.5485","0.2620","0.2468","0.5019","0.4203","0.3247","workflow_recomposition","0.8037","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5927|support_high_pressure=0.0779|routine_high_pressure=0.1080|benchmark_mean=0.8853|function_anchors=2"
"occ_15_2031_00","0.5334","0.1636","0.3694","0.6406","0.5577","0.6151","0.2592","0.2328","0.6339","0.4681","0.3143","workflow_recomposition","0.7484","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5915|support_high_pressure=0.0461|routine_high_pressure=0.1083|benchmark_mean=0.7287|function_anchors=2|calibration=reviewed_calibration|quantitative_modeling_high_exposure_but_decision_interpretation_retained"
"occ_15_2051_00","0.5489","0.2574","0.4522","0.6466","0.5920","0.5973","0.3292","0.3114","0.6769","0.5304","0.3355","augmented_core_role","0.7903","src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6431|support_high_pressure=0.1740|routine_high_pressure=0.2162|benchmark_mean=0.8033|function_anchors=2|calibration=reviewed_calibration|high_exposure_but_retained_framing_and_model_ownership"
"occ_17_2051_00","0.4929","0.2326","0.4075","0.6248","0.6159","0.5921","0.2806","0.2553","0.4524","0.4316","0.3459","workflow_recomposition","0.6928","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6740|support_high_pressure=0.1065|routine_high_pressure=0.1530|benchmark_mean=0.3777|function_anchors=2"
"occ_17_2071_00","0.4594","0.1404","0.3610","0.6316","0.6253","0.5591","0.2245","0.1979","0.4635","0.3855","0.3017","workflow_recomposition","0.7013","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6722|support_high_pressure=0.0150|routine_high_pressure=0.0654|benchmark_mean=0.5421|function_anchors=2"
"occ_17_2072_00","0.4216","0.0971","0.3258","0.6947","0.6800","0.6051","0.1934","0.1554","0.4619","0.3938","0.2441","workflow_recomposition","0.6949","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6760|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6600|function_anchors=1|calibration=reviewed_calibration|electronics_engineering_faces_higher_tooling_pressure_but_retains_system_ownership"
"occ_17_2112_00","0.4784","0.2188","0.3999","0.6179","0.5949","0.5878","0.2539","0.2148","0.4862","0.4138","0.3254","workflow_recomposition","0.7178","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6501|support_high_pressure=0.0311|routine_high_pressure=0.0906|benchmark_mean=0.5729|function_anchors=2"
"occ_17_2141_00","0.4673","0.0763","0.3584","0.6754","0.6709","0.5758","0.2116","0.1941","0.4710","0.4026","0.2669","workflow_recomposition","0.6850","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6760|support_high_pressure=0.0221|routine_high_pressure=0.0555|benchmark_mean=0.6200|function_anchors=1|calibration=reviewed_calibration|mechanical_engineering_recomposes_without_losing_core_design_accountability"
"occ_23_1011_00","0.3752","0.0748","0.3280","0.7736","0.8473","0.7015","0.1600","0.1549","0.4759","0.3148","0.2139","workflow_recomposition","0.6827","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.8784|support_high_pressure=0.0323|routine_high_pressure=0.0677|benchmark_mean=0.4500|function_anchors=2|calibration=reviewed_calibration|legal_function_and_authority_guardrail"
"occ_23_2011_00","0.4343","0.1401","0.3484","0.6383","0.6771","0.5860","0.2205","0.2202","0.4157","0.3721","0.3166","workflow_recomposition","0.6830","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6828|support_high_pressure=0.0577|routine_high_pressure=0.1532|benchmark_mean=0.4000|function_anchors=2|calibration=reviewed_calibration|legal_support_work_recomposes_more_than_attorney_work"
"occ_27_1024_00","0.5130","0.1077","0.3720","0.5465","0.4782","0.5257","0.3060","0.3202","0.4792","0.4565","0.3837","workflow_recomposition","0.6903","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.4840|support_high_pressure=0.1796|routine_high_pressure=0.2440|benchmark_mean=0.6600|function_anchors=1|calibration=reviewed_calibration|design_execution_faces_stronger_generation_pressure_but_brand_direction_remains_human"
"occ_27_3023_00","0.5058","0.0194","0.3392","0.6395","0.6162","0.5736","0.2362","0.2588","0.4564","0.4224","0.3298","workflow_recomposition","0.7632","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6579|support_high_pressure=0.1165|routine_high_pressure=0.1717|benchmark_mean=0.7951|function_anchors=3|calibration=reviewed_calibration|journalism_faces_heavier_generation_pressure_but_reporting_judgment_remains"
"occ_27_3031_00","0.4511","0.1286","0.3478","0.6319","0.6163","0.6055","0.2207","0.1723","0.4937","0.4137","0.2863","workflow_recomposition","0.7238","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5905|support_high_pressure=0.0104|routine_high_pressure=0.0104|benchmark_mean=0.6000|function_anchors=2|calibration=reviewed_calibration|public_relations_retains_reputation_and_relationship_coordination_despite_tooling_pressure"
"occ_27_3041_00","0.4805","0.0583","0.3371","0.6301","0.5940","0.5704","0.2377","0.2505","0.4740","0.4160","0.3206","workflow_recomposition","0.7444","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6138|support_high_pressure=0.0874|routine_high_pressure=0.1642|benchmark_mean=0.6600|function_anchors=2|calibration=reviewed_calibration|editing_faces_heavy_recomposition_but_still_retains_gatekeeping_and_quality_control"
"occ_27_3042_00","0.4822","0.1447","0.3727","0.6031","0.5471","0.5727","0.2413","0.2073","0.4649","0.4334","0.3217","workflow_recomposition","0.7435","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5716|support_high_pressure=0.0128|routine_high_pressure=0.0702|benchmark_mean=0.6200|function_anchors=2|calibration=reviewed_calibration|benchmark_exposure_requires_more_recomposition_pressure"
"occ_27_3043_00","0.4955","0.0914","0.3635","0.5311","0.4806","0.4920","0.2682","0.2418","0.6181","0.4439","0.3511","workflow_recomposition","0.7151","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.4840|support_high_pressure=0.0901|routine_high_pressure=0.0901|benchmark_mean=0.7000|function_anchors=1|calibration=reviewed_calibration|writing_work_faces_stronger_generation_pressure_and_heavier_recomposition"
"occ_41_3011_00","0.4482","0.1082","0.3593","0.6280","0.5978","0.5831","0.2247","0.1962","0.4258","0.3810","0.2910","workflow_recomposition","0.6976","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6180|support_high_pressure=0.0133|routine_high_pressure=0.0516|benchmark_mean=0.4800|function_anchors=1|calibration=reviewed_calibration|client_relationship_and_revenue_ownership_remain_core"
"occ_41_3021_00","0.4509","0.1634","0.3536","0.6282","0.5867","0.5940","0.2826","0.2859","0.4790","0.3994","0.3344","workflow_recomposition","0.7047","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6223|support_high_pressure=0.1609|routine_high_pressure=0.2137|benchmark_mean=0.4866|function_anchors=2"
