"occupation_id","task_id","function_id","edge_type","task_to_function_weight","accountability_weight","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","source_mix","source_confidence","notes"
"occ_11_1021_00","task_occ_11_1021_00_933","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5018","0.6567","0.6294","0.6241","0.3352","0.5959","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7090","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_933","fn_occ_11_1021_00_primary","directly_supports","0.4982","0.6415","0.6176","0.6121","0.3348","0.5549","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7180","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_944","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5504","0.7124","0.5891","0.6928","0.3400","0.6588","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6716","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_944","fn_occ_11_1021_00_primary","directly_supports","0.4496","0.6631","0.5579","0.6808","0.3300","0.5997","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6806","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_945","fn_occ_11_1021_00_people_resource_leadership","supports","0.4270","0.4903","0.5944","0.5339","0.3277","0.5681","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.5743","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_945","fn_occ_11_1021_00_primary","supports","0.5730","0.5275","0.6126","0.5219","0.3423","0.5547","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.5833","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_947","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5451","0.7288","0.6180","0.6610","0.4195","0.7096","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6738","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_947","fn_occ_11_1021_00_primary","directly_supports","0.4549","0.6832","0.5890","0.6490","0.4105","0.6525","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6828","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_948","fn_occ_11_1021_00_people_resource_leadership","supports","0.4669","0.6488","0.7024","0.6184","0.3717","0.6499","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7087","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_948","fn_occ_11_1021_00_primary","supports","0.5331","0.6580","0.7046","0.6064","0.3783","0.6218","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7177","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_949","fn_occ_11_1021_00_primary","delivers","0.9800","0.6584","0.6140","0.5104","0.3830","0.6288","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.5808","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_01","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5276","0.6616","0.5745","0.6199","0.3378","0.6003","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8179","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_01","fn_occ_11_1021_00_primary","directly_supports","0.4724","0.6283","0.5525","0.6079","0.3322","0.5497","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8269","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_02","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5000","0.7440","0.6890","0.6920","0.4150","0.7044","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8122","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_02","fn_occ_11_1021_00_primary","directly_supports","0.5000","0.7300","0.6780","0.6800","0.4150","0.6640","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8212","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_03","fn_occ_11_1021_00_people_resource_leadership","supports","0.4443","0.4604","0.5579","0.5179","0.3294","0.5677","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8449","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_03","fn_occ_11_1021_00_primary","supports","0.5557","0.4854","0.5691","0.5059","0.3406","0.5479","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8539","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_04","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.4755","0.7012","0.6641","0.6677","0.3726","0.6564","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8199","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_04","fn_occ_11_1021_00_primary","directly_supports","0.5245","0.7043","0.6629","0.6557","0.3774","0.6251","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8289","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_01","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.4679","0.6124","0.6326","0.5917","0.3318","0.5864","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8045","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_01","fn_occ_11_1021_00_primary","directly_supports","0.5321","0.6209","0.6344","0.5797","0.3382","0.5579","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8135","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_02","fn_occ_11_1021_00_people_resource_leadership","supports","0.4478","0.4899","0.5586","0.5461","0.3598","0.5711","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8045","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_02","fn_occ_11_1021_00_primary","supports","0.5522","0.5124","0.5684","0.5341","0.3702","0.5501","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8135","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_03","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.4654","0.6509","0.5921","0.6210","0.4115","0.6199","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7121","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_03","fn_occ_11_1021_00_primary","directly_supports","0.5346","0.6611","0.5949","0.6090","0.4185","0.5923","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7210","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_04","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5288","0.7150","0.6848","0.7029","0.3379","0.6558","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8025","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_04","fn_occ_11_1021_00_primary","directly_supports","0.4712","0.6808","0.6622","0.6909","0.3321","0.6048","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8115","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_01","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5370","0.6631","0.5564","0.6181","0.3387","0.6019","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8179","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_01","fn_occ_11_1021_00_primary","directly_supports","0.4630","0.6232","0.5306","0.6061","0.3313","0.5478","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8269","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_02","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.4759","0.7044","0.6642","0.6708","0.3726","0.6568","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8199","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_02","fn_occ_11_1021_00_primary","directly_supports","0.5241","0.7073","0.6628","0.6588","0.3774","0.6253","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8289","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_03","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5000","0.7440","0.6690","0.6920","0.4150","0.7044","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8122","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_03","fn_occ_11_1021_00_primary","directly_supports","0.5000","0.7300","0.6580","0.6800","0.4150","0.6640","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8212","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_19502","fn_occ_11_2021_00_primary","supports","0.5626","0.5230","0.5475","0.4781","0.2663","0.4487","src_role_function_seed_2026_03","0.6207","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_19502","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4374","0.5142","0.5665","0.5021","0.2087","0.5590","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6746","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_19503","fn_occ_11_2021_00_primary","delivers","0.9800","0.5989","0.5810","0.4579","0.3080","0.5189","src_role_function_seed_2026_03","0.5222","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_19504","fn_occ_11_2021_00_primary","delivers","0.9800","0.6547","0.6310","0.4637","0.3080","0.5245","src_role_function_seed_2026_03","0.6207","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_19505","fn_occ_11_2021_00_primary","delivers","0.9800","0.5302","0.5810","0.3992","0.2880","0.4720","src_role_function_seed_2026_03","0.5882","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_20709","fn_occ_11_2021_00_primary","directly_supports","0.5000","0.6750","0.6650","0.6320","0.3400","0.5545","src_role_function_seed_2026_03","0.5640","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_20709","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.5000","0.7100","0.7090","0.6560","0.2950","0.6880","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6180","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_950","fn_occ_11_2021_00_primary","directly_supports","0.5299","0.6363","0.6160","0.6329","0.2630","0.5051","src_role_function_seed_2026_03","0.6492","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_950","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.4701","0.6505","0.6480","0.6569","0.2120","0.6276","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7032","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_951","fn_occ_11_2021_00_primary","directly_supports","0.5359","0.5081","0.5172","0.5225","0.2636","0.4432","src_role_function_seed_2026_03","0.5442","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_951","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.4641","0.5179","0.5468","0.5465","0.2114","0.5634","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.5982","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_952","fn_occ_11_2021_00_primary","supports","0.5383","0.5450","0.6177","0.5086","0.2638","0.4472","src_role_function_seed_2026_03","0.6724","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_952","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4617","0.5532","0.6463","0.5326","0.2112","0.5666","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7264","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_954","fn_occ_11_2021_00_primary","directly_supports","0.4741","0.6659","0.5598","0.6320","0.3374","0.5497","src_role_function_seed_2026_03","0.5714","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_954","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.5259","0.7191","0.6142","0.6560","0.2976","0.6928","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6254","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_955","fn_occ_11_2021_00_primary","supports","0.5579","0.4860","0.4966","0.4927","0.2658","0.4443","src_role_function_seed_2026_03","0.5442","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_955","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4421","0.4804","0.5174","0.5167","0.2092","0.5564","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.5982","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_956","fn_occ_11_2021_00_primary","supports","0.5565","0.4876","0.4963","0.4949","0.2656","0.4442","src_role_function_seed_2026_03","0.5690","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_956","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4435","0.4831","0.5177","0.5189","0.2094","0.5568","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6230","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_957","fn_occ_11_2021_00_primary","supports","0.5474","0.5432","0.5445","0.5036","0.2647","0.4484","src_role_function_seed_2026_03","0.6600","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_957","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4526","0.5450","0.5695","0.5276","0.2103","0.5644","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7140","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_958","fn_occ_11_2021_00_primary","directly_supports","0.4613","0.6067","0.6573","0.5873","0.2961","0.5019","src_role_function_seed_2026_03","0.6702","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_958","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.5387","0.6688","0.7167","0.6113","0.2589","0.6497","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7242","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_959","fn_occ_11_2021_00_primary","delivers","0.9800","0.6569","0.6310","0.4659","0.3080","0.5247","src_role_function_seed_2026_03","0.6207","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_960","fn_occ_11_2021_00_primary","directly_supports","0.4510","0.5870","0.5652","0.6311","0.2551","0.4883","src_role_function_seed_2026_03","0.6237","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_960","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.5490","0.6563","0.6288","0.6551","0.2199","0.6400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6777","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_961","fn_occ_11_2021_00_primary","directly_supports","0.4474","0.5371","0.5245","0.5325","0.2547","0.4328","src_role_function_seed_2026_03","0.6281","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_961","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.5526","0.6089","0.5895","0.5565","0.2203","0.5858","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6821","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_962","fn_occ_11_2021_00_primary","supports","0.5502","0.6094","0.5450","0.5988","0.2650","0.5055","src_role_function_seed_2026_03","0.6075","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_962","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4498","0.6092","0.5690","0.6228","0.2100","0.6204","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6615","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_963","fn_occ_11_2021_00_primary","supports","0.5500","0.5385","0.5450","0.4980","0.2650","0.4484","src_role_function_seed_2026_03","0.6724","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_963","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4500","0.5385","0.5690","0.5220","0.2100","0.5633","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7264","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_964","fn_occ_11_2021_00_primary","supports","0.5626","0.5230","0.5475","0.4781","0.2663","0.4487","src_role_function_seed_2026_03","0.6207","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_964","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4374","0.5142","0.5665","0.5021","0.2087","0.5590","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6746","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_965","fn_occ_11_2021_00_primary","supports","0.5901","0.5283","0.5530","0.4738","0.2690","0.4533","src_role_function_seed_2026_03","0.6207","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_965","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4099","0.5003","0.5610","0.4978","0.2060","0.5535","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6746","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_01","fn_occ_11_2021_00_primary","directly_supports","0.4731","0.6656","0.5596","0.6320","0.3373","0.5495","src_role_function_seed_2026_03","0.6581","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_01","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.5269","0.7194","0.6144","0.6560","0.2977","0.6930","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7121","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_02","fn_occ_11_2021_00_primary","directly_supports","0.4684","0.5699","0.5787","0.5580","0.2568","0.4392","src_role_function_seed_2026_03","0.7370","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_02","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.5316","0.6271","0.6353","0.5820","0.2182","0.5845","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7910","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_03","fn_occ_11_2021_00_primary","directly_supports","0.5316","0.5534","0.5813","0.5294","0.2632","0.4471","src_role_function_seed_2026_03","0.7659","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_03","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.4684","0.5663","0.6127","0.5534","0.2118","0.5689","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8199","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_04","fn_occ_11_2021_00_primary","directly_supports","0.5349","0.4998","0.5670","0.5146","0.2635","0.4422","src_role_function_seed_2026_03","0.6581","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_04","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.4651","0.5104","0.5970","0.5386","0.2115","0.5628","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7121","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_01","fn_occ_11_2021_00_primary","directly_supports","0.5276","0.6472","0.6155","0.6445","0.2628","0.5059","src_role_function_seed_2026_03","0.7582","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_01","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.4724","0.6628","0.6485","0.6685","0.2122","0.6291","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8122","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_02","fn_occ_11_2021_00_primary","directly_supports","0.5324","0.5936","0.5965","0.5493","0.3432","0.4812","src_role_function_seed_2026_03","0.7485","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_02","fn_occ_11_2021_00_team_budget_orchestration","directly_supports","0.4676","0.6060","0.6275","0.5733","0.2918","0.6027","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8025","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_03","fn_occ_11_2021_00_primary","supports","0.5509","0.4430","0.5502","0.4722","0.2651","0.4389","src_role_function_seed_2026_03","0.7851","reviewed_primary_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_03","fn_occ_11_2021_00_team_budget_orchestration","supports","0.4491","0.4424","0.5738","0.4962","0.2099","0.5536","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8391","reviewed_multi_anchor_task_function_edge"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_04","fn_occ_11_2021_00_primary","directly_supports","0.4796","0.6319","0.6359","0.6061","0.2980","0.5071","src_role_function_seed_2026_03","0.7716","reviewed_primary_task_function_edge"
