"occupation_id","task_cluster_id","share_prior","importance_prior","evidence_confidence","source_mix","notes"
"occ_11_3121_00","cluster_oversight_strategy","0.0521","0.75","0.51","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_qa_review","0.0579","0.46","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_relationship_management","0.1497","0.66","0.40","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_research_synthesis","0.0568","0.80","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_workflow_admin","0.2863","0.89","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_analysis","0.0725","0.52","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_client_interaction","0.0622","0.66","0.50","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_coordination","0.2161","0.78","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_decision_support","0.0278","0.59","0.55","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_drafting","0.1652","0.58","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_oversight_strategy","0.0537","0.57","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_qa_review","0.3339","0.66","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_relationship_management","0.0254","0.54","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_9041_00","cluster_research_synthesis","0.0432","0.51","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_analysis","0.0700","0.76","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_client_interaction","0.0264","0.85","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_coordination","0.5200","0.79","0.44","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_decision_support","0.0193","0.62","0.41","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_documentation","0.0706","0.77","0.49","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_oversight_strategy","0.1608","0.87","0.55","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_qa_review","0.0501","0.81","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_relationship_management","0.0333","0.54","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_research_synthesis","0.0236","0.76","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_9141_00","cluster_workflow_admin","0.0258","0.83","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_analysis","0.1557","0.79","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_coordination","0.4805","0.82","0.36","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_drafting","0.0232","0.71","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_execution_routine","0.0157","0.48","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_qa_review","0.2309","0.77","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_relationship_management","0.0213","0.65","0.40","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_research_synthesis","0.0258","0.79","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1023_00","cluster_workflow_admin","0.0468","0.72","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_analysis","0.1052","0.85","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_client_interaction","0.0318","0.73","0.41","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_coordination","0.1494","0.76","0.36","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_decision_support","0.0632","0.79","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_documentation","0.1262","0.88","0.49","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_execution_routine","0.1704","0.87","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_qa_review","0.1448","0.87","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1031_00","cluster_research_synthesis","0.2091","0.91","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1041_00","cluster_client_interaction","0.0804","0.84","0.40","src_onet_30_1","onet_keyword_inference"
"occ_13_1041_00","cluster_coordination","0.2670","0.81","0.36","src_onet_30_1","onet_keyword_inference"
"occ_13_1041_00","cluster_decision_support","0.0785","0.82","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1041_00","cluster_documentation","0.1847","0.78","0.51","src_onet_30_1","onet_keyword_inference"
"occ_13_1041_00","cluster_execution_routine","0.0737","0.77","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1041_00","cluster_qa_review","0.2046","0.80","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1041_00","cluster_research_synthesis","0.1110","0.79","0.43","src_onet_30_1","onet_keyword_inference"
"occ_13_1051_00","cluster_client_interaction","0.0563","0.75","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1051_00","cluster_decision_support","0.2320","0.77","0.44","src_onet_30_1","onet_keyword_inference"
"occ_13_1051_00","cluster_documentation","0.4580","0.77","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1051_00","cluster_drafting","0.1051","0.71","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_1051_00","cluster_execution_routine","0.0563","0.75","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1051_00","cluster_oversight_strategy","0.0405","0.54","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1051_00","cluster_qa_review","0.0518","0.69","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1071_00","cluster_analysis","0.0413","0.70","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_coordination","0.0440","0.70","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_decision_support","0.1879","0.78","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_documentation","0.0317","0.80","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_execution_routine","0.0798","0.88","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_oversight_strategy","0.0543","0.70","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_qa_review","0.2148","0.77","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_relationship_management","0.1739","0.74","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_research_synthesis","0.0800","0.74","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1071_00","cluster_workflow_admin","0.0924","0.84","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1081_00","cluster_analysis","0.1162","0.58","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_client_interaction","0.3391","0.82","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_coordination","0.0736","0.69","0.39","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_decision_support","0.0577","0.58","0.53","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_documentation","0.0423","0.76","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_drafting","0.0538","0.66","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_execution_routine","0.0505","0.68","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_oversight_strategy","0.1699","0.76","0.49","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_qa_review","0.0381","0.70","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1081_00","cluster_workflow_admin","0.0589","0.75","0.55","src_onet_30_1","onet_keyword_inference"
"occ_13_1082_00","cluster_client_interaction","0.2500","0.60","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_1082_00","cluster_coordination","0.2500","0.60","0.42","src_onet_30_1","onet_keyword_inference"
"occ_13_1082_00","cluster_documentation","0.1000","0.60","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_1082_00","cluster_drafting","0.0500","0.60","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_1082_00","cluster_qa_review","0.2000","0.60","0.47","src_onet_30_1","onet_keyword_inference"
"occ_13_1082_00","cluster_relationship_management","0.1000","0.60","0.44","src_onet_30_1","onet_keyword_inference"
"occ_13_1082_00","cluster_workflow_admin","0.0500","0.60","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1111_00","cluster_analysis","0.1339","0.82","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1111_00","cluster_coordination","0.1298","0.80","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1111_00","cluster_decision_support","0.3377","0.60","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1111_00","cluster_qa_review","0.0567","0.69","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1111_00","cluster_research_synthesis","0.2884","0.85","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1111_00","cluster_workflow_admin","0.0534","0.65","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1151_00","cluster_analysis","0.1857","0.83","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1151_00","cluster_client_interaction","0.3081","0.82","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1151_00","cluster_coordination","0.0316","0.56","0.44","src_onet_30_1","onet_keyword_inference"
"occ_13_1151_00","cluster_documentation","0.0876","0.78","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1151_00","cluster_drafting","0.2294","0.71","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_1151_00","cluster_oversight_strategy","0.0378","0.67","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1151_00","cluster_relationship_management","0.0847","0.77","0.41","src_onet_30_1","onet_keyword_inference"
"occ_13_1151_00","cluster_workflow_admin","0.0350","0.62","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_1161_00","cluster_analysis","0.2165","0.79","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1161_00","cluster_decision_support","0.0365","0.66","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1161_00","cluster_documentation","0.1466","0.90","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1161_00","cluster_oversight_strategy","0.0630","0.57","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1161_00","cluster_qa_review","0.2265","0.82","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_1161_00","cluster_research_synthesis","0.3110","0.81","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_analysis","0.1456","0.69","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_client_interaction","0.0432","0.80","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_decision_support","0.1294","0.79","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_documentation","0.0648","0.71","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_execution_routine","0.0835","0.70","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_oversight_strategy","0.0986","0.85","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_qa_review","0.3394","0.80","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2011_00","cluster_workflow_admin","0.0954","0.76","0.92","src_onet_30_1|src_manual_cluster_review_2026_03","manual_cluster_review"
"occ_13_2051_00","cluster_analysis","0.5000","0.60","0.43","src_onet_30_1","onet_keyword_inference"
"occ_13_2051_00","cluster_client_interaction","0.2308","0.60","0.50","src_onet_30_1","onet_keyword_inference"
"occ_13_2051_00","cluster_decision_support","0.0385","0.60","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2051_00","cluster_documentation","0.0769","0.60","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_2051_00","cluster_drafting","0.1154","0.60","0.44","src_onet_30_1","onet_keyword_inference"
"occ_13_2051_00","cluster_oversight_strategy","0.0385","0.60","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_2052_00","cluster_analysis","0.0570","0.91","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2052_00","cluster_client_interaction","0.6097","0.73","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2052_00","cluster_decision_support","0.2318","0.70","0.49","src_onet_30_1","onet_keyword_inference"
"occ_13_2052_00","cluster_documentation","0.0476","0.76","0.57","src_onet_30_1","onet_keyword_inference"
"occ_13_2052_00","cluster_qa_review","0.0539","0.86","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_analysis","0.2415","0.74","0.41","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_client_interaction","0.2223","0.72","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_coordination","0.0151","0.64","0.43","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_decision_support","0.0644","0.60","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_drafting","0.0322","0.60","0.46","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_execution_routine","0.1422","0.85","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_oversight_strategy","0.0558","0.78","0.45","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_qa_review","0.1133","0.63","0.48","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_relationship_management","0.0644","0.60","0.43","src_onet_30_1","onet_keyword_inference"
"occ_13_2072_00","cluster_research_synthesis","0.0489","0.66","0.42","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_analysis","0.1508","0.66","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_client_interaction","0.1101","0.66","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_coordination","0.1558","0.73","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_decision_support","0.1236","0.63","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_drafting","0.3332","0.71","0.38","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_execution_routine","0.0171","0.61","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_oversight_strategy","0.0180","0.64","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_1211_00","cluster_qa_review","0.0913","0.65","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1212_00","cluster_coordination","0.0264","0.72","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1212_00","cluster_documentation","0.1755","0.80","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_1212_00","cluster_drafting","0.2605","0.76","0.36","src_onet_30_1","onet_keyword_inference"
"occ_15_1212_00","cluster_execution_routine","0.5097","0.78","0.46","src_onet_30_1","onet_keyword_inference"
"occ_15_1212_00","cluster_qa_review","0.0279","0.76","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_analysis","0.0171","0.54","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_decision_support","0.0190","0.60","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_documentation","0.0979","0.62","0.56","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_drafting","0.2922","0.67","0.40","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_oversight_strategy","0.2410","0.70","0.46","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_qa_review","0.1071","0.57","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_relationship_management","0.1105","0.70","0.40","src_onet_30_1","onet_keyword_inference"
"occ_15_1232_00","cluster_research_synthesis","0.1153","0.73","0.46","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_analysis","0.0214","0.72","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_client_interaction","0.0556","0.63","0.49","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_coordination","0.2439","0.68","0.44","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_decision_support","0.0375","0.63","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_documentation","0.0214","0.72","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_drafting","0.3884","0.66","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_execution_routine","0.0235","0.79","0.42","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_qa_review","0.1221","0.78","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1241_00","cluster_research_synthesis","0.0862","0.67","0.43","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_analysis","0.0392","0.61","0.51","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_coordination","0.1574","0.69","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_decision_support","0.0209","0.64","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_documentation","0.0382","0.59","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_drafting","0.4208","0.65","0.36","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_qa_review","0.0752","0.64","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_relationship_management","0.0981","0.77","0.40","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_research_synthesis","0.0163","0.50","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1244_00","cluster_workflow_admin","0.1339","0.82","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_1252_00","cluster_analysis","0.2336","0.71","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1252_00","cluster_client_interaction","0.0270","0.59","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1252_00","cluster_coordination","0.0316","0.69","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1252_00","cluster_decision_support","0.0298","0.65","0.53","src_onet_30_1","onet_keyword_inference"
"occ_15_1252_00","cluster_documentation","0.0637","0.70","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1252_00","cluster_drafting","0.5877","0.68","0.41","src_onet_30_1","onet_keyword_inference"
"occ_15_1252_00","cluster_execution_routine","0.0266","0.58","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_analysis","0.1021","0.83","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_client_interaction","0.0195","0.65","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_coordination","0.0088","0.58","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_decision_support","0.0936","0.74","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_documentation","0.1322","0.87","0.53","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_drafting","0.2110","0.75","0.41","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_qa_review","0.4209","0.77","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_1253_00","cluster_workflow_admin","0.0119","0.78","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_2031_00","cluster_analysis","0.3768","0.86","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_2031_00","cluster_decision_support","0.1905","0.81","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_2031_00","cluster_drafting","0.0531","0.69","0.51","src_onet_30_1","onet_keyword_inference"
"occ_15_2031_00","cluster_oversight_strategy","0.0312","0.81","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_2031_00","cluster_qa_review","0.2420","0.80","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_2031_00","cluster_relationship_management","0.0825","0.68","0.47","src_onet_30_1","onet_keyword_inference"
"occ_15_2031_00","cluster_research_synthesis","0.0239","0.62","0.48","src_onet_30_1","onet_keyword_inference"
"occ_15_2051_00","cluster_analysis","0.6250","0.60","0.44","src_onet_30_1","onet_keyword_inference"
"occ_15_2051_00","cluster_decision_support","0.1875","0.60","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_2051_00","cluster_drafting","0.0625","0.60","0.45","src_onet_30_1","onet_keyword_inference"
"occ_15_2051_00","cluster_qa_review","0.0625","0.60","0.46","src_onet_30_1","onet_keyword_inference"
"occ_15_2051_00","cluster_research_synthesis","0.0625","0.60","0.48","src_onet_30_1","onet_keyword_inference"
"occ_17_2051_00","cluster_analysis","0.1225","0.64","0.48","src_onet_30_1","onet_keyword_inference"
"occ_17_2051_00","cluster_decision_support","0.0271","0.64","0.43","src_onet_30_1","onet_keyword_inference"
"occ_17_2051_00","cluster_documentation","0.0262","0.62","0.45","src_onet_30_1","onet_keyword_inference"
"occ_17_2051_00","cluster_drafting","0.3814","0.68","0.45","src_onet_30_1","onet_keyword_inference"
